Node ID	Node class	Exact wording / registered identity	Parent node ID	Side	Segment ID	Container ID	Aligned slot	Active status	Approval status	Source workbook/sheet	Source row	Source preservation	Notes
SB-ASI-P0334	HUMAN_PARAMETER	Odour identification	CON-012	HUMAN	SEG-02	CON-012	334	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	335	PRESERVED	“Odour identification” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0335	HUMAN_PARAMETER	Odour discrimination	CON-012	HUMAN	SEG-02	CON-012	335	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	336	PRESERVED	“Odour discrimination” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0336	HUMAN_PARAMETER	Odour intensity coding	CON-012	HUMAN	SEG-02	CON-012	336	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	337	PRESERVED	“Odour intensity coding” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0337	HUMAN_PARAMETER	Smell adaptation	CON-012	HUMAN	SEG-02	CON-012	337	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	338	PRESERVED	“Smell adaptation” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0338	HUMAN_PARAMETER	Hedonic (pleasant/unpleasant) odour	CON-012	HUMAN	SEG-02	CON-012	338	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	339	PRESERVED	“Hedonic (pleasant/unpleasant) odour” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0339	HUMAN_PARAMETER	Odour-memory linkage	CON-012	HUMAN	SEG-02	CON-012	339	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	340	PRESERVED	“Odour-memory linkage” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0340	HUMAN_PARAMETER	Trigeminal chemesthesis	CON-012	HUMAN	SEG-02	CON-012	340	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	341	PRESERVED	“Trigeminal chemesthesis” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0341	HUMAN_PARAMETER	Pheromone/social-chemical sensing	CON-012	HUMAN	SEG-02	CON-012	341	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	342	PRESERVED	“Pheromone/social-chemical sensing” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0342	HUMAN_PARAMETER	Sweetness	CON-012	HUMAN	SEG-02	CON-012	342	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	343	PRESERVED	“Sweetness” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0343	HUMAN_PARAMETER	Sourness	CON-012	HUMAN	SEG-02	CON-012	343	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	344	PRESERVED	“Sourness” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0344	HUMAN_PARAMETER	Saltiness	CON-012	HUMAN	SEG-02	CON-012	344	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	345	PRESERVED	“Saltiness” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0345	HUMAN_PARAMETER	Bitterness	CON-012	HUMAN	SEG-02	CON-012	345	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	346	PRESERVED	“Bitterness” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0346	HUMAN_PARAMETER	Umami/savoury	CON-012	HUMAN	SEG-02	CON-012	346	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	347	PRESERVED	“Umami/savoury” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0347	HUMAN_PARAMETER	Fat perception	CON-012	HUMAN	SEG-02	CON-012	347	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	348	PRESERVED	“Fat perception” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0348	HUMAN_PARAMETER	Metallic taste	CON-012	HUMAN	SEG-02	CON-012	348	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	349	PRESERVED	“Metallic taste” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0349	HUMAN_PARAMETER	Astringency	CON-012	HUMAN	SEG-02	CON-012	349	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	350	PRESERVED	“Astringency” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0350	HUMAN_PARAMETER	Flavour integration (smell+taste)	CON-012	HUMAN	SEG-02	CON-012	350	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	351	PRESERVED	“Flavour integration (smell+taste)” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0351	HUMAN_PARAMETER	Retronasal olfaction	CON-012	HUMAN	SEG-02	CON-012	351	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	352	PRESERVED	“Retronasal olfaction” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0352	HUMAN_PARAMETER	Spiciness/pungency (heat)	CON-012	HUMAN	SEG-02	CON-012	352	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	353	PRESERVED	“Spiciness/pungency (heat)” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0353	HUMAN_PARAMETER	Cooling (menthol) sensing	CON-012	HUMAN	SEG-02	CON-012	353	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	354	PRESERVED	“Cooling (menthol) sensing” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0354	HUMAN_PARAMETER	Carbonation sensing	CON-012	HUMAN	SEG-02	CON-012	354	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	355	PRESERVED	“Carbonation sensing” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0355	HUMAN_PARAMETER	Temperature-taste interaction	CON-012	HUMAN	SEG-02	CON-012	355	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	356	PRESERVED	“Temperature-taste interaction” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0356	HUMAN_PARAMETER	Texture-flavour interaction	CON-012	HUMAN	SEG-02	CON-012	356	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	357	PRESERVED	“Texture-flavour interaction” is a distinct operational function inside “Smell, Taste and Chemical Sensing”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Strongly connected with memory, appetite, threat avoidance and emotional association. Scope: Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion Main filters/modulators: Hunger, illness, culture, prior exposure, hormones, age, expectation
SB-ASI-P0357	HUMAN_PARAMETER	Sight-sound binding	CON-013	HUMAN	SEG-02	CON-013	357	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	358	PRESERVED	“Sight-sound binding” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0358	HUMAN_PARAMETER	Touch-vision binding	CON-013	HUMAN	SEG-02	CON-013	358	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	359	PRESERVED	“Touch-vision binding” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0359	HUMAN_PARAMETER	Audio-tactile binding	CON-013	HUMAN	SEG-02	CON-013	359	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	360	PRESERVED	“Audio-tactile binding” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0360	HUMAN_PARAMETER	Temporal alignment	CON-013	HUMAN	SEG-02	CON-013	360	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	361	PRESERVED	“Temporal alignment” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0361	HUMAN_PARAMETER	Spatial alignment	CON-013	HUMAN	SEG-02	CON-013	361	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	362	PRESERVED	“Spatial alignment” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0362	HUMAN_PARAMETER	Source matching (common cause)	CON-013	HUMAN	SEG-02	CON-013	362	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	363	PRESERVED	“Source matching (common cause)” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0363	HUMAN_PARAMETER	Causal-inference (bind vs separate)	CON-013	HUMAN	SEG-02	CON-013	363	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	364	PRESERVED	“Causal-inference (bind vs separate)” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0364	HUMAN_PARAMETER	Reliability weighting	CON-013	HUMAN	SEG-02	CON-013	364	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	365	PRESERVED	“Reliability weighting” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0365	HUMAN_PARAMETER	Optimal (Bayesian) cue combination	CON-013	HUMAN	SEG-02	CON-013	365	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	366	PRESERVED	“Optimal (Bayesian) cue combination” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0366	HUMAN_PARAMETER	Sensory conflict detection	CON-013	HUMAN	SEG-02	CON-013	366	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	367	PRESERVED	“Sensory conflict detection” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0367	HUMAN_PARAMETER	Conflict resolution	CON-013	HUMAN	SEG-02	CON-013	367	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	368	PRESERVED	“Conflict resolution” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0368	HUMAN_PARAMETER	Visual capture (ventriloquism)	CON-013	HUMAN	SEG-02	CON-013	368	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	369	PRESERVED	“Visual capture (ventriloquism)” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0369	HUMAN_PARAMETER	McGurk-type audiovisual fusion	CON-013	HUMAN	SEG-02	CON-013	369	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	370	PRESERVED	“McGurk-type audiovisual fusion” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0370	HUMAN_PARAMETER	Cross-modal prediction	CON-013	HUMAN	SEG-02	CON-013	370	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	371	PRESERVED	“Cross-modal prediction” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0371	HUMAN_PARAMETER	Cross-modal attention	CON-013	HUMAN	SEG-02	CON-013	371	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	372	PRESERVED	“Cross-modal attention” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0372	HUMAN_PARAMETER	Multisensory enhancement	CON-013	HUMAN	SEG-02	CON-013	372	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	373	PRESERVED	“Multisensory enhancement” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0373	HUMAN_PARAMETER	Redundancy gain	CON-013	HUMAN	SEG-02	CON-013	373	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	374	PRESERVED	“Redundancy gain” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0374	HUMAN_PARAMETER	Synchrony detection	CON-013	HUMAN	SEG-02	CON-013	374	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	375	PRESERVED	“Synchrony detection” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0375	HUMAN_PARAMETER	Lag/asynchrony tolerance	CON-013	HUMAN	SEG-02	CON-013	375	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	376	PRESERVED	“Lag/asynchrony tolerance” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0376	HUMAN_PARAMETER	Modality dominance shifting	CON-013	HUMAN	SEG-02	CON-013	376	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	377	PRESERVED	“Modality dominance shifting” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0377	HUMAN_PARAMETER	Sensory reweighting	CON-013	HUMAN	SEG-02	CON-013	377	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	378	PRESERVED	“Sensory reweighting” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0378	HUMAN_PARAMETER	Body-signal integration	CON-013	HUMAN	SEG-02	CON-013	378	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	379	PRESERVED	“Body-signal integration” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0379	HUMAN_PARAMETER	Self-vs-external attribution	CON-013	HUMAN	SEG-02	CON-013	379	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	380	PRESERVED	“Self-vs-external attribution” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0380	HUMAN_PARAMETER	Peripersonal-space integration	CON-013	HUMAN	SEG-02	CON-013	380	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	381	PRESERVED	“Peripersonal-space integration” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0381	HUMAN_PARAMETER	Audio-visual speech integration	CON-013	HUMAN	SEG-02	CON-013	381	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	382	PRESERVED	“Audio-visual speech integration” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0382	HUMAN_PARAMETER	Rhythm cross-modal coupling	CON-013	HUMAN	SEG-02	CON-013	382	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	383	PRESERVED	“Rhythm cross-modal coupling” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
SB-ASI-P0383	HUMAN_PARAMETER	Sensory substitution use	CON-013	HUMAN	SEG-02	CON-013	383	ACTIVE	TASK 2 APPROVED	05 Brain Parameters 2560	384	PRESERVED	“Sensory substitution use” is a distinct operational function inside “Multisensory Integration”. It is reviewed as part of the segment “Perception and Body Representation”. Container purpose: Produces one coherent experience from multiple incomplete and sometimes conflicting signals. Scope: Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction Main filters/modulators: Timing, reliability of each sense, attention, context, prior belief, sensory impairment
